iter,diffusion,ULA,tempering,dilation,DAZ
2412,0.0002964401,0.0002964401,0.023729576,0.8717518,0.0040848856
2419,0.00029401484,0.00029401484,0.023540976,0.8708801,0.004073767
2425,0.0002919528,0.0002919528,0.023380544,0.870129,0.0040642265
2432,0.00028956617,0.00028956617,0.02319479,0.8692479,0.004053087
2438,0.00028753697,0.00028753697,0.023036772,0.8684887,0.0040435297
2445,0.00028518835,0.00028518835,0.022853814,0.8675983,0.004032368
2452,0.00028285998,0.00028285998,0.022672348,0.86670274,0.0040211966
2458,0.00028087996,0.00028087996,0.022517977,0.86593103,0.004011613
2465,0.00027858862,0.00027858862,0.022339242,0.8650259,0.004000421
2471,0.00027664003,0.00027664003,0.0221872,0.864246,0.0039908183
2478,0.00027438515,0.00027438515,0.022011153,0.8633313,0.0039796084
2484,0.00027246724,0.00027246724,0.021861397,0.8625432,0.0039699916
2491,0.0002702482,0.0002702482,0.021687996,0.8616189,0.003958761
2498,0.0002680474,0.0002680474,0.021516003,0.86068934,0.0039475225
2504,0.00026617665,0.00026617665,0.021369688,0.85988843,0.0039378805
2511,0.00026401054,0.00026401054,0.021200279,0.85894924,0.0039266227
2517,0.0002621692,0.0002621692,0.021056172,0.85814,0.0039169653
2524,0.00026003743,0.00026003743,0.020889306,0.85719097,0.0039056893
2530,0.00025822502,0.00025822502,0.02074735,0.85637325,0.0038960187
2537,0.00025612707,0.00025612707,0.020582985,0.85541445,0.003884727
2544,0.00025404687,0.00025404687,0.020419948,0.8544503,0.0038734272
2550,0.0002522781,0.0002522781,0.02028126,0.85361964,0.0038637333
2557,0.00025023014,0.00025023014,0.020120671,0.8526455,0.0038524175
2563,0.00024848938,0.00024848938,0.019984055,0.85180634,0.0038427103
2570,0.00024647382,0.00024647382,0.019825866,0.8508223,0.003831379
2577,0.00024447576,0.00024447576,0.01966896,0.8498329,0.0038200382
2583,0.00024277644,0.00024277644,0.019535478,0.84898055,0.0038103124
2590,0.00024080928,0.00024080928,0.019380921,0.8479811,0.0037989556
2596,0.0002391368,0.0002391368,0.019249432,0.8471201,0.0037892188
2603,0.00023720026,0.00023720026,0.019097181,0.8461106,0.0037778493
2609,0.00023555398,0.00023555398,0.018967664,0.84524095,0.003768098
2616,0.00023364801,0.00023364801,0.018817686,0.8442213,0.0037567166
2623,0.00023175811,0.00023175811,0.018668918,0.84319615,0.0037453268
2629,0.00023015114,0.00023015114,0.01854236,0.8423131,0.0037355581
2636,0.00022829042,0.00022829042,0.018395817,0.8412778,0.0037241576
